Step,Class 0,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9
0,0.48762053,0.4841076,0.49912792,0.49024022,0.5097471,0.49371955,0.51886094,0.49008262,0.4909496,0.49176994
1,0.48762053,0.4841076,0.49912792,0.49024022,0.5097471,0.49371955,0.51886094,0.49008262,0.4909496,0.49176994
2,0.486851,0.48314705,0.49911177,0.489608,0.5103514,0.49339992,0.520036,0.48949033,0.4904071,0.49127924
3,0.48598439,0.48207226,0.49910346,0.48889107,0.51102906,0.49305806,0.521359,0.4888296,0.4898028,0.49073127
4,0.48505723,0.48092848,0.49910298,0.4881203,0.51175034,0.49270743,0.52277356,0.48812816,0.48916233,0.49014857
5,0.48406798,0.47971496,0.49911183,0.4872942,0.5125155,0.4923501,0.5242815,0.4873857,0.48848584,0.4895308
6,0.48301244,0.4784284,0.4991321,0.48640877,0.5133261,0.4919886,0.52588874,0.48660043,0.48777258,0.48887613
7,0.48188594,0.4770655,0.49916697,0.48545894,0.5141839,0.49162653,0.5276018,0.4857707,0.48702154,0.48818263
8,0.48068273,0.47562292,0.49921998,0.48443896,0.5150909,0.49126863,0.5294281,0.48489428,0.48623186,0.48744854
9,0.47939676,0.47409788,0.49929565,0.48334172,0.51604974,0.49092153,0.53137636,0.4839691,0.48540238,0.4866718
10,0.47802097,0.47248772,0.4993999,0.48215833,0.51706386,0.49059367,0.5334563,0.48299253,0.48453206,0.4858504
11,0.4765476,0.47079003,0.4995397,0.48087785,0.51813805,0.4902965,0.5356805,0.48196185,0.48361984,0.48498192
12,0.4749685,0.4690025,0.49972317,0.47948712,0.51927835,0.49004412,0.5380641,0.48087397,0.48266503,0.4840633
13,0.4732757,0.46712196,0.4999583,0.47797132,0.520491,0.4898537,0.5406266,0.4797253,0.48166725,0.48309097
14,0.47146097,0.46514407,0.5002511,0.4763139,0.5217836,0.48974395,0.5433925,0.47851136,0.48062572,0.48206013
15,0.46951592,0.46306208,0.5006026,0.47449708,0.5231649,0.48973337,0.5463945,0.47722518,0.47953826,0.48096424
16,0.4674313,0.46086374,0.5010053,0.4725025,0.5246483,0.4898368,0.54967684,0.47585458,0.4783995,0.47979394
17,0.46519667,0.45852807,0.50143814,0.47031194,0.52625376,0.490061,0.5532982,0.47437847,0.47719848,0.47853607
18,0.46280035,0.4560219,0.50186574,0.46790797,0.52801144,0.49040017,0.5573321,0.47276405,0.47591838,0.4771741
19,0.46022904,0.45330134,0.5022428,0.4652736,0.5299601,0.49083674,0.5618616,0.4709671,0.4745372,0.47568986
20,0.457466,0.45032,0.50253034,0.46239138,0.5321416,0.49134663,0.5669662,0.4689383,0.47303286,0.4740646
21,0.45448694,0.44704124,0.5027167,0.45923996,0.5345909,0.4919079,0.57270956,0.46663257,0.47138968,0.47227788
22,0.45125014,0.44344193,0.50282955,0.45578617,0.5373293,0.4925056,0.57913744,0.4640142,0.46959937,0.4703029
23,0.44768342,0.4394986,0.5029231,0.4519751,0.54037356,0.49312901,0.58629423,0.46105206,0.46765193,0.46810186
24,0.44367748,0.43516254,0.5030501,0.4477254,0.5437519,0.49376625,0.59424514,0.45770922,0.4655209,0.4656239
25,0.43909532,0.43034512,0.50324166,0.44293696,0.5475167,0.4943993,0.6030796,0.45393842,0.46315393,0.46281025
26,0.43380216,0.42492852,0.503507,0.43751112,0.55173355,0.49500108,0.61288905,0.44968823,0.4604746,0.4596076
27,0.42770115,0.41879097,0.5038435,0.43136784,0.5564616,0.49554056,0.6237377,0.4449127,0.45739505,0.4559761
28,0.42074636,0.41182783,0.5042433,0.42444643,0.561746,0.49599567,0.6356472,0.43957025,0.45383555,0.45188293
29,0.41292602,0.403955,0.5046928,0.4166939,0.5676278,0.49635753,0.64860094,0.43361327,0.449737,0.44728947
30,0.40423372,0.39510387,0.50516796,0.40805668,0.57415444,0.49662024,0.6625505,0.42697722,0.44505775,0.44214746
