Step,Neuron 0,Neuron 1,Neuron 2,Neuron 3,Neuron 4,Neuron 5,Neuron 6,Neuron 7,Neuron 8,Neuron 9
0,0.4876205,0.4841076,0.49912792,0.49024022,0.5097471,0.49371955,0.51886094,0.49008262,0.4909496,0.49176994
1,0.4876205,0.4841076,0.49912792,0.49024022,0.5097471,0.49371955,0.51886094,0.49008262,0.4909496,0.49176994
2,0.486851,0.48314705,0.49911183,0.489608,0.5103514,0.49339992,0.520036,0.48949033,0.4904071,0.49127924
3,0.48598439,0.48207226,0.49910346,0.48889107,0.51102906,0.49305806,0.521359,0.4888296,0.4898028,0.49073127
4,0.48505723,0.48092848,0.49910298,0.4881203,0.51175034,0.49270743,0.52277356,0.48812816,0.48916233,0.49014857
5,0.48406798,0.47971496,0.49911183,0.4872942,0.5125155,0.4923501,0.5242815,0.4873857,0.48848584,0.48953083
6,0.48301244,0.4784284,0.4991322,0.48640877,0.5133261,0.4919886,0.52588874,0.48660043,0.48777264,0.48887613
7,0.48188594,0.4770655,0.499167,0.48545894,0.5141839,0.49162653,0.5276018,0.4857707,0.48702154,0.48818266
8,0.48068273,0.47562292,0.49922,0.48443896,0.51509094,0.49126863,0.5294282,0.48489428,0.48623186,0.48744857
9,0.47939676,0.47409788,0.49929565,0.48334172,0.51604974,0.49092153,0.53137636,0.4839691,0.4854024,0.4866718
10,0.47802097,0.47248772,0.4993999,0.48215833,0.51706386,0.49059367,0.5334563,0.48299253,0.48453206,0.4858504
11,0.4765476,0.47079003,0.4995397,0.48087785,0.51813805,0.4902965,0.53568053,0.48196185,0.48361984,0.48498192
12,0.4749685,0.4690025,0.49972317,0.47948712,0.51927835,0.49004412,0.5380642,0.48087397,0.48266503,0.4840633
13,0.4732757,0.46712196,0.4999583,0.47797132,0.520491,0.4898537,0.5406266,0.47972527,0.48166725,0.48309097
14,0.47146097,0.46514407,0.5002511,0.4763139,0.5217836,0.48974395,0.5433925,0.4785113,0.48062572,0.48206013
15,0.46951592,0.46306205,0.50060266,0.47449708,0.523165,0.48973337,0.5463945,0.47722518,0.47953826,0.48096427
16,0.4674313,0.46086377,0.5010053,0.4725025,0.5246483,0.4898368,0.54967684,0.47585458,0.4783995,0.47979394
17,0.46519667,0.45852804,0.50143814,0.47031194,0.52625376,0.490061,0.5532982,0.47437847,0.47719848,0.47853607
18,0.46280035,0.4560219,0.50186574,0.46790797,0.52801144,0.49040017,0.55733216,0.47276405,0.47591838,0.4771741
19,0.46022904,0.45330134,0.5022428,0.4652736,0.5299601,0.4908368,0.5618616,0.4709671,0.4745372,0.4756899
20,0.457466,0.45032,0.50253034,0.46239138,0.5321416,0.49134663,0.5669662,0.4689383,0.47303286,0.4740646
21,0.45448694,0.4470412,0.5027167,0.45923996,0.5345909,0.4919079,0.57270956,0.46663257,0.47138965,0.47227788
22,0.45125014,0.4434419,0.50282955,0.45578614,0.5373295,0.4925056,0.57913744,0.46401417,0.46959937,0.4703029
23,0.44768342,0.4394986,0.5029231,0.4519751,0.54037356,0.49312901,0.5862943,0.46105206,0.46765193,0.4681019
24,0.44367746,0.43516248,0.50305015,0.44772536,0.5437519,0.49376628,0.5942452,0.45770922,0.4655209,0.46562392
25,0.43909532,0.4303451,0.50324166,0.44293696,0.5475167,0.4943993,0.6030796,0.45393836,0.46315393,0.46281025
26,0.43380216,0.4249285,0.503507,0.43751112,0.55173355,0.49500108,0.61288905,0.44968817,0.4604746,0.4596076
27,0.42770112,0.41879094,0.50384355,0.43136784,0.5564616,0.49554056,0.62373775,0.44491267,0.45739505,0.4559761
28,0.42074633,0.4118278,0.5042433,0.4244464,0.561746,0.49599567,0.63564724,0.43957022,0.45383552,0.45188293
29,0.412926,0.40395495,0.5046928,0.41669387,0.5676278,0.49635756,0.648601,0.43361324,0.449737,0.4472895
30,0.4042337,0.3951038,0.50516796,0.40805665,0.57415444,0.49662024,0.6625507,0.4269772,0.44505775,0.44214746
31,0.3946496,0.38521972,0.50563794,0.398482,0.58138275,0.49677384,0.6774161,0.4195816,0.43976322,0.43640235
32,0.3841374,0.3742719,0.50607973,0.38792658,0.58937526,0.49681148,0.6930819,0.41134393,0.43381605,0.42999628
33,0.37265736,0.36226606,0.5064941,0.37636518,0.5981956,0.49673802,0.70939153,0.40219626,0.42717218,0.42286813
34,0.36018613,0.34924084,0.5069056,0.36379772,0.6079082,0.49656713,0.726151,0.3920923,0.41977757,0.414952
35,0.3467286,0.33525065,0.5073546,0.35024855,0.61857784,0.49631387,0.74314606,0.38100284,0.41156608,0.40617672
36,0.3323196,0.3203584,0.5078838,0.33576396,0.6302617,0.49598992,0.76016253,0.36891055,0.40246361,0.39647254
37,0.31702587,0.30465072,0.508527,0.32041448,0.6429922,0.4956037,0.77699196,0.35581276,0.39240122,0.38578266
38,0.30095592,0.28825903,0.5093046,0.3043039,0.65676093,0.49515894,0.79342645,0.34173077,0.38132873,0.37407178
39,0.28426597,0.2713669,0.51022625,0.28757745,0.6715131,0.49465454,0.80926573,0.32672033,0.36922184,0.3613303
40,0.26715586,0.25419956,0.51129735,0.27042207,0.68714833,0.4940856,0.82433397,0.31087747,0.3560837,0.34757647
41,0.24985778,0.23700589,0.512525,0.2530589,0.7035242,0.493445,0.83849585,0.29434106,0.3419458,0.33286005
42,0.23262016,0.22003876,0.51391846,0.23572984,0.7204593,0.49272463,0.85166425,0.27729082,0.3268725,0.3172667
43,0.21569096,0.20353708,0.5154914,0.21868041,0.7377377,0.49191523,0.8637985,0.2599417,0.3109653,0.30092195
44,0.19929978,0.18770954,0.51726073,0.20214199,0.75511986,0.49100652,0.87489784,0.24253277,0.29436633,0.28399226
45,0.18364313,0.17272294,0.51924616,0.18631572,0.7723553,0.48998713,0.88499224,0.22531238,0.2772577,0.2666814
46,0.16887343,0.15869582,0.52147084,0.17136075,0.7892002,0.48884436,0.89413404,0.20852067,0.25985613,0.24922207
